date;symbol;open;high;low;close
08/09/2021 00:00;BTC/USD;4689430;4738672;4443693;4609194
07/09/2021 00:00;BTC/USD;5271943;5295647;4290001;4686682
06/09/2021 00:00;BTC/USD;5180928;5281000;5102432;5270820
05/09/2021 00:00;BTC/USD;4996532;5190000;4950000;5180928
04/09/2021 00:00;BTC/USD;5003350;5057094;4938826;4994316
03/09/2021 00:00;BTC/USD;4928493;5105000;4835160;5002504
02/09/2021 00:00;BTC/USD;4883093;5039000;4862500;4927479
01/09/2021 00:00;BTC/USD;4711802;4913400;4653242;4885349
31/08/2021 00:00;BTC/USD;4696905;4827033;4669900;4715609
30/08/2021 00:00;BTC/USD;4878256;4891529;4685541;4700344
29/08/2021 00:00;BTC/USD;4894710;4966600;4779829;4880872
28/08/2021 00:00;BTC/USD;4910049;4932500;4824488;4893536
27/08/2021 00:00;BTC/USD;4685786;4918700;4636300;4910049
26/08/2021 00:00;BTC/USD;4902239;4938760;4630933;4685629
25/08/2021 00:00;BTC/USD;4767080;4927393;4710000;4901175
24/08/2021 00:00;BTC/USD;4951608;4989350;4759366;4773133
23/08/2021 00:00;BTC/USD;4929671;5056211;4901000;4956137
22/08/2021 00:00;BTC/USD;4888384;4954001;4808017;4930186
21/08/2021 00:00;BTC/USD;4933231;4983302;4830000;4888434
20/08/2021 00:00;BTC/USD;4675929;4943610;4664577;4935600
19/08/2021 00:00;BTC/USD;4473416;4711499;4393554;4676430
18/08/2021 00:00;BTC/USD;4463147;4604162;4421873;4472113
17/08/2021 00:00;BTC/USD;4593048;4718337;4441751;4469435
16/08/2021 00:00;BTC/USD;4702496;4807522;4565414;4593051
15/08/2021 00:00;BTC/USD;4713097;4742400;4550027;4702830
14/08/2021 00:00;BTC/USD;4785500;4819000;4600000;4711973
13/08/2021 00:00;BTC/USD;4441335;4792918;4425397;4786058
12/08/2021 00:00;BTC/USD;4553680;4623670;4380002;4444445
11/08/2021 00:00;BTC/USD;4559621;4678760;4535302;4553985
10/08/2021 00:00;BTC/USD;4628230;4675900;4464300;4560970
09/08/2021 00:00;BTC/USD;4383605;4652902;4281126;4629289
